Division,PR,CollegePR
3,6.477,6.92
1,6.2357,6.8
3,5.6134,5.62
3,5.8293,5.66
1,6.83895,7.5
1,5.94995,6.23
1,6.2484,7.07
3,5.3594,6.6
3,5.207,4.99
3,5.1689,5.06
3,6.4516,7.05
1,6.6675,6.41
2,6.4516,6.98
1,6.4516,6.76
3,5.9436,6.49
3,6.40715,6.55
3,5.715,6.34
1,6.3627,6.99
2,5.8166,5.78
1,5.9944,5.91
1,6.38175,6.88
3,6.6548,6.58
3,5.65785,6.05
2,6.6294,7.19
3,5.8928,5.97
3,6.6802,6.86
2,5.842,5.86
