Division,PR,CollegePR
1,4.7625,4.54
1,5.2324,5.22
1,5.461,5.49
3,5.08,4.65
3,4.6482,4.87
2,4.902200000000001,4.42
2,4.8006,5.03
3,4.75615,4.75
2,4.5212,4.47
2,5.1816,5.24
2,4.978400000000001,4.75
3,4.8641,4.78
1,5.753100000000001,5.67
1,5.581650000000001,5.72
3,4.699,5.07
1,5.0292,4.96
2,4.34975,4.17
1,5.4229,5.14
3,4.54025,4.68
2,5.429250000000001,5.01
2,4.7625,4.59
1,5.092700000000001,5.18
1,5.83565,5.72
2,4.4196,5.09
2,5.416550000000001,5.33
1,5.2705,5.32
1,5.486400000000001,5.8
1,4.7625,5.24
1,5.2324,5.65
2,5.2705,5.11
2,4.41325,4.83
1,5.82295,5.44
1,2.9210000000000003,5.44
1,5.3340000000000005,5.54
3,4.1783,5.27
1,5.1054,5.45
1,5.0292,5.23
3,4.940300000000001,4.85
1,4.52755,4.28
1,5.2197000000000005,4.89
1,5.1943,5.37
2,4.1402,4.78
2,5.0292,4.78
1,5.89915,5.72
1,5.454650000000001,5.36
3,5.111750000000001,4.65
3,4.5466,4.6
3,5.0419,4.6
3,3.8608,4.12
3,4.05765,4.23
1,4.978400000000001,5.52
1,4.90855,5.57
1,5.619750000000001,5.44
2,5.410200000000001,6.03
3,4.97205,4.6
2,4.85775,5.1
2,4.7752,4.82
1,5.2197000000000005,5.07
1,5.461,5.57
3,5.08,5.01
2,4.8895,4.75
3,5.130800000000001,5.34
3,4.17195,5.06
2,5.3149500000000005,5.02
2,5.435600000000001,5.22
3,3.5179,3.79
3,4.8514,5.09
2,5.2578000000000005,5.18
1,3.9116,5.12
1,4.83235,5.12
3,4.9149,5.11
2,4.65455,4.48
1,5.6515,5.94
1,5.130800000000001,5.44
1,5.91185,5.41
1,5.511800000000001,5.68
1,5.207000000000001,5.09
1,4.9657,4.87
1,5.092700000000001,5.34
3,4.8133,4.47
1,5.626100000000001,5.83
1,4.902200000000001,5.52
1,6.1468,6.1
3,3.8989,4.67
1,5.734050000000001,5.88
1,5.429250000000001,5.37
1,5.429250000000001,5.42
1,5.3530500000000005,5.6
1,5.25145,5.25
2,4.71805,4.78
1,4.7498000000000005,4.99
3,4.4704,4.56
1,5.16255,5.13
1,4.902200000000001,5.05
1,5.321300000000001,5.16
1,5.55625,5.08
3,4.62915,4.59
1,5.467350000000001,5.41
1,5.5372,5.18
3,4.0767,4.48
2,4.0894,4.43
3,5.2768500000000005,5.21
2,5.1435,4.72
2,4.7117,4.67
2,5.321300000000001,5.35
1,5.753100000000001,6.09
1,5.562600000000001,5.05
2,4.8069500000000005,5.14
3,5.25145,5.06
3,4.43865,4.8
1,5.6896,5.34
1,5.397500000000001,5.47
1,5.657850000000001,5.47
1,4.87045,5.24
1,4.7307500000000005,5.43
1,4.89585,5.63
3,4.2926,4.4
1,5.549900000000001,5.55
2,5.187950000000001,5.16
1,5.20065,4.7
2,5.0292,5.12
2,4.8641,4.49
1,4.959350000000001,5.18
3,4.572,4.53
3,4.4958,4.75
3,5.2768500000000005,5.33
1,5.1816,5.04
3,4.7752,5.01
2,5.1689,5.32
2,4.8768,4.71
1,4.3434,4.55
1,4.38785,4.99
3,4.5593,4.18
3,4.3053,4.42
2,5.410200000000001,4.95
3,4.55295,5.03
2,5.1435,5.14
2,4.1656,3.92
1,5.130800000000001,5.47
2,5.130800000000001,5.45
1,5.1181,4.63
1,5.2387500000000005,5.96
1,5.3721000000000005,5.68
3,4.9911,5.24
1,5.3340000000000005,5.34
2,5.1816,4.9
2,5.448300000000001,5.1
2,5.130800000000001,4.48
3,4.41325,4.56
1,5.016500000000001,5.42
2,4.57835,5.03
2,4.8514,5.34
2,5.3848,5.24
1,5.12445,5.85
1,5.06095,5.0
2,5.549900000000001,5.39
2,5.8293,5.79
2,4.34975,5.79
1,5.207000000000001,5.05
1,5.524500000000001,5.45
1,4.55295,5.01
3,5.02285,4.63
2,4.940300000000001,5.04
2,4.1529,3.97
1,5.562600000000001,5.66
3,4.997450000000001,4.93
1,5.657850000000001,5.81
3,3.91795,4.35
3,4.83235,4.99
1,5.092700000000001,4.89
2,4.33705,4.73
3,4.6101,5.21
2,4.9276,4.89
2,5.054600000000001,4.17
2,4.2672,4.23
3,4.74345,4.69
1,4.2291,4.75
3,4.978400000000001,4.47
2,5.1943,5.01
1,5.302250000000001,5.21
1,5.8166,5.65
1,5.2324,5.79
2,4.8133,4.84
1,5.435600000000001,5.15
3,4.8260000000000005,5.11
2,4.445,4.64
1,5.0038,5.03
3,5.12445,5.38
3,2.6670000000000003,5.38
1,5.753100000000001,5.55
1,4.2545,5.55
2,4.5212,4.91
2,5.359400000000001,5.47
2,4.978400000000001,5.27
1,5.619750000000001,6.22
1,4.79425,5.2
2,5.1689,4.67
3,5.1562,4.87
1,5.4229,5.92
1,4.8831500000000005,5.16
2,5.035550000000001,5.19
3,3.937,4.64
1,4.699,5.13
1,4.953,5.58
3,4.6482,4.75
2,4.65455,4.78
3,4.3688,5.22
1,5.0292,5.18
2,4.78155,5.05
1,4.7117,4.94
3,3.7592,4.54
1,5.448300000000001,5.01
3,4.2672,4.54
2,4.8768,5.21
3,4.89585,4.88
3,5.2768500000000005,5.12
3,4.959350000000001,4.93
3,4.3307,4.64
3,4.34975,4.32
1,5.626100000000001,5.56
1,5.1689,4.93
3,4.2672,4.48
3,4.9276,4.87
1,4.9149,5.11
1,5.1816,5.02
3,4.3307,4.4
1,5.1689,5.72
1,5.378450000000001,5.23
3,4.6863,5.61
1,4.81965,5.49
3,5.435600000000001,5.67
3,4.6482,4.46
1,5.4991,5.17
2,4.7117,4.92
1,5.1943,5.54
1,5.36575,5.43
1,5.1435,5.1
2,5.772150000000001,6.11
2,4.7879000000000005,4.7
3,4.1021,4.17
1,5.130800000000001,4.78
1,5.2959000000000005,5.65
2,4.8006,4.89
1,5.0673,5.22
2,4.41325,4.28
3,4.3053,4.45
1,5.448300000000001,5.23
1,5.2324,5.65
1,4.6101,4.64
1,5.486400000000001,5.33
1,5.505450000000001,5.2
2,4.69265,5.2
1,5.302250000000001,5.14
1,5.5753,5.5
3,3.3528,4.38
3,4.67995,4.56
3,4.8514,5.32
1,5.753100000000001,5.88
1,5.753100000000001,6.1
3,4.78155,5.18
1,4.9911,4.91
1,5.3149500000000005,4.68
3,4.8768,4.86
3,4.6736,4.65
