Division,PR,CollegePR
3,284.98,254.08
2,284.98,256.31
1,285.08,247.29
1,285.14,255.96
3,285.22,244.08
3,285.24,253.49
3,285.24,263.43
3,285.31,249.18
2,285.35,263.85
2,285.4,244.22
3,285.48,253.63
2,285.51,248.45
2,285.51,254.09
3,285.52,268.46
2,285.54,257.64
3,285.64,260.67
3,285.66,252.01
3,285.7,257.35
3,285.76,266.87
2,285.8,250.13
2,285.91,255.91
3,285.99,238.17
3,286.03,264.62
3,286.06,258.4
3,286.07,262.9
2,286.09,267.37
3,286.17,254.77
1,286.2,251.69
3,286.24,271.59
3,286.27,246.91
3,286.3,271.75
3,286.36,254.71
1,286.41,252.36
1,307.4,252.36
1,309.83,252.36
3,286.45,249.83
2,286.56,245.07
3,286.6,244.86
1,286.6,262.73
1,286.67,266.18
1,286.76,262.03
2,286.84,256.09
3,286.85,261.33
3,286.89,256.8
2,287,249.18
3,287.14,268.62
1,287.14,243.02
2,287.16,258.58
3,287.25,265.71
2,287.27,273.7
1,287.29,257.4
3,287.33,257
2,287.42,251.91
1,287.42,240.72
2,287.45,242.93
2,287.45,258.2
3,287.5,247.84
2,287.54,253.1
2,287.56,251.94
2,287.66,266.92
3,287.68,264.13
3,287.69,275.73
3,287.7,267.67
3,287.72,262.81
2,287.73,264.81
3,287.78,256.27
3,287.79,273.1
2,287.81,252.81
3,287.84,258.74
3,287.85,256.4
2,287.98,244.43
3,288.02,248.45
2,288.04,257.8
2,288.05,252.69
3,288.07,255.36
2,288.17,252.47
1,288.2,252.97
3,288.25,282.36
3,288.29,243.77
2,288.35,250.77
2,303.04,250.77
3,288.43,254.14
3,288.55,256.22
3,288.56,249.52
3,288.56,250.77
3,288.57,256.78
3,288.59,348.83
2,288.64,291.44
3,288.71,260.53
1,288.71,239.32
3,288.73,248.61
3,288.77,269.86
2,288.8,244.91
3,288.82,256.93
3,305.12,256.93
3,288.85,264.16
2,288.88,260.24
2,288.95,268.53
3,288.97,277.3
3,289,269.55
3,289,251.51
2,289.01,269.11
3,289.1,253
1,289.17,253.93
3,289.21,256.3
2,289.42,256.17
3,289.48,257.16
3,289.53,253.29
2,289.54,256.89
3,289.54,251.14
3,289.57,282.26
3,289.64,252.56
1,289.7,239.16
2,289.75,257.12
3,289.79,246.65
